,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
39,Emba,KZ,48.83,58.14,57.81,39,100,4.27,overcast clouds
40,Moree,AU,-29.47,149.85,71.6,43,0,8.05,clear sky
41,Arlit,NE,18.74,7.39,91.29,28,0,3.29,clear sky
42,Punta Arenas,CL,-53.15,-70.92,41.0,86,100,3.36,overcast clouds
43,Jiwani,PK,25.05,61.74,81.46,82,0,9.55,clear sky
44,Usinsk,RU,65.99,57.53,51.08,94,100,10.47,overcast clouds
45,Bluff,NZ,-46.6,168.33,52.3,71,33,13.0,light rain
46,Nkhotakota,MW,-12.93,34.3,66.18,69,93,10.31,overcast clouds
47,Puro,PH,12.48,123.38,87.73,67,100,4.09,overcast clouds
48,Mangrol,IN,21.12,70.12,82.04,85,0,7.74,clear sky
49,Coahuayana,MX,18.73,-103.68,79.61,79,100,0.67,overcast clouds
50,Taoudenni,ML,22.68,-3.98,95.07,14,0,14.9,clear sky
51,Busselton,AU,-33.65,115.33,61.0,49,2,20.71,light rain
52,Nanortalik,GL,60.14,-45.24,44.31,94,100,5.19,light rain
53,Puerto Ayora,EC,-0.74,-90.35,64.99,97,97,3.0,overcast clouds
54,Soyo,AO,-6.13,12.37,72.61,88,52,8.93,broken clouds
55,Baker City,US,44.77,-117.83,84.2,26,1,8.05,clear sky
56,Khatanga,RU,71.97,102.5,48.43,61,0,3.49,clear sky
57,Dekalb,US,33.75,-84.23,71.6,64,1,7.02,clear sky
58,Ayan,RU,56.45,138.17,57.07,83,85,8.59,overcast clouds
59,Obihiro,JP,42.92,143.2,73.4,88,75,2.24,broken clouds
60,Luanda,AO,-8.84,13.23,71.6,88,75,3.36,broken clouds
61,Bayan,CN,46.08,127.4,75.0,62,100,6.76,overcast clouds
62,Lamu,KE,-2.27,40.9,74.95,80,2,12.08,clear sky
63,Xining,CN,36.62,101.77,60.62,50,5,1.59,clear sky
64,Plettenberg Bay,ZA,-34.05,23.37,56.23,84,1,5.86,clear sky
65,Rosarito,MX,32.33,-117.03,98.6,13,5,8.05,smoke
66,Tiksi,RU,71.69,128.87,44.69,83,98,5.7,overcast clouds
67,Castro,BR,-24.79,-50.01,62.35,57,0,0.34,clear sky
68,Rehoboth,NA,-23.32,17.08,59.83,34,0,1.39,clear sky
69,Boa Vista,BR,2.82,-60.67,78.8,78,40,2.24,scattered clouds
70,Panama City,PA,8.99,-79.52,77.0,94,100,3.36,light rain
71,Chuy,UY,-33.7,-53.46,49.23,87,0,7.05,clear sky
72,Shirokiy,RU,49.76,129.52,67.55,77,74,2.62,broken clouds
73,Hermanus,ZA,-34.42,19.23,54.0,84,6,1.01,clear sky
74,Aqtobe,KZ,50.28,57.21,41.0,65,69,1.23,broken clouds
75,Sao Jose Da Coroa Grande,BR,-8.9,-35.15,73.31,78,1,8.16,clear sky
76,Port Jervis,US,41.38,-74.69,64.99,45,25,1.01,scattered clouds
77,Swan River,CA,52.11,-101.27,47.03,62,85,7.16,overcast clouds
78,Charlestown,AU,-32.95,151.67,71.01,40,20,14.99,few clouds
79,Caravelas,BR,-17.71,-39.25,70.99,93,2,3.91,clear sky
80,New Norfolk,AU,-42.78,147.06,64.4,45,100,13.87,overcast clouds
81,Abu Zabad,SD,12.35,29.25,74.37,85,25,8.93,scattered clouds
82,Atuona,PF,-9.8,-139.03,79.16,73,37,17.78,scattered clouds
83,Puerto Leguizamo,CO,-0.19,-74.78,75.94,77,83,0.74,broken clouds
84,Souillac,MU,-20.52,57.52,66.2,100,75,4.7,light rain
85,Fallon,US,39.47,-118.78,87.8,15,90,4.7,smoke
86,Bambous Virieux,MU,-20.34,57.76,66.99,100,75,4.7,light rain
87,Ponta Do Sol,PT,32.67,-17.1,71.6,83,20,8.05,few clouds
88,Manaure,CO,11.78,-72.44,86.0,70,36,8.61,scattered clouds
89,Jamestown,US,42.1,-79.24,64.99,77,75,4.7,broken clouds
90,Upernavik,GL,72.79,-56.15,34.16,90,99,10.89,overcast clouds
91,Krasnoselkup,RU,65.7,82.47,45.93,79,0,4.32,clear sky
92,Krutikha,RU,53.96,81.21,44.91,79,99,6.51,overcast clouds
93,Faya,SA,18.39,42.45,66.2,33,0,3.47,clear sky
94,Touros,BR,-5.2,-35.46,73.4,83,16,4.7,few clouds
95,Carnarvon,AU,-24.87,113.63,68.0,100,90,12.75,overcast clouds
96,Tasiilaq,GL,65.61,-37.64,35.6,93,86,5.82,mist
97,Dongli,CN,23.57,116.82,86.0,74,20,2.24,few clouds
98,Airai,TL,-8.93,125.41,73.71,46,14,7.4,few clouds
99,Hobart,AU,-42.88,147.33,64.4,45,100,13.87,overcast clouds
100,Cidreira,BR,-30.18,-50.21,57.56,88,100,17.67,overcast clouds
101,Vestmannaeyjar,IS,63.44,-20.27,51.76,87,99,27.16,overcast clouds
102,Maumere,ID,-8.62,122.21,82.98,59,96,3.65,overcast clouds
103,Bethel,US,41.37,-73.41,71.6,68,90,4.7,overcast clouds
104,Basco,PH,20.45,121.97,83.75,69,3,8.43,clear sky
105,Beringovskiy,RU,63.05,179.32,48.74,76,53,9.6,broken clouds
106,Beamsville,CA,43.17,-79.48,66.0,58,32,7.16,scattered clouds
107,Fukue,JP,32.69,128.84,73.4,88,75,21.92,light intensity shower rain
108,Alofi,NU,-19.06,-169.92,75.2,60,67,20.8,broken clouds
109,Torphins,GB,57.11,-2.62,50.0,70,100,3.0,overcast clouds
110,Codrington,AU,-38.27,141.97,64.9,62,78,21.81,broken clouds
111,Chara,RU,56.91,118.26,64.35,59,98,2.15,overcast clouds
112,La Ronge,CA,55.1,-105.28,46.4,64,75,9.17,broken clouds
113,Moerai,PF,-22.43,-151.33,68.95,88,100,12.01,light rain
114,Lompoc,US,34.64,-120.46,82.4,42,1,4.7,clear sky
115,Umm Lajj,SA,25.02,37.27,91.51,37,0,9.89,clear sky
116,Poya,NC,-21.35,165.15,76.66,59,100,6.8,overcast clouds
117,Kapaa,US,22.08,-159.32,82.99,65,90,12.75,overcast clouds
118,Port Hardy,CA,50.7,-127.42,62.6,77,75,12.75,broken clouds
119,Kodiak,US,57.79,-152.41,55.4,93,90,12.75,light rain
120,Shelburne,CA,44.08,-80.2,60.8,63,1,9.17,clear sky
121,Shingu,JP,33.73,135.98,84.2,83,75,32.21,light intensity shower rain
122,Sistranda,NO,63.73,8.83,48.2,93,75,9.17,broken clouds
123,Cape Town,ZA,-33.93,18.42,54.0,93,0,3.36,clear sky
124,Vaini,TO,-21.2,-175.2,75.2,64,75,11.41,broken clouds
125,Turukhansk,RU,65.82,87.98,47.64,75,0,1.59,clear sky
126,Kainan,JP,34.15,135.2,84.2,74,75,32.21,shower rain
127,Vanimo,PG,-2.67,141.3,87.37,59,0,10.07,clear sky
128,Yichang,CN,30.71,111.28,84.99,53,0,2.21,clear sky
129,Cabo San Lucas,MX,22.89,-109.91,82.99,74,40,10.29,scattered clouds
130,Fairbanks,US,64.84,-147.72,64.4,34,20,11.41,few clouds
131,Kavaratti,IN,10.57,72.64,82.6,79,100,23.6,overcast clouds
132,Trinidad,BO,-14.83,-64.9,83.77,47,96,2.44,overcast clouds
133,Srednekolymsk,RU,67.45,153.68,51.33,76,100,3.6,overcast clouds
134,Lagoa Vermelha,BR,-28.21,-51.53,55.09,94,78,6.64,broken clouds
135,Sao Filipe,CV,14.9,-24.5,77.95,81,59,9.44,broken clouds
136,Sault Sainte Marie,CA,46.52,-84.33,60.8,87,90,9.17,moderate rain
137,San Patricio,MX,19.22,-104.7,86.0,74,75,6.93,broken clouds
138,Mar Del Plata,AR,-38.0,-57.56,46.0,93,0,6.29,fog
139,Yima,CN,34.74,111.88,83.3,38,0,4.47,clear sky
140,Baruun-Urt,MN,46.68,113.28,62.56,60,0,7.65,clear sky
141,Marawi,PH,8.0,124.29,82.99,80,4,4.0,clear sky
142,Saint-Philippe,RE,-21.36,55.77,68.0,72,50,5.82,light rain
143,Vizinga,RU,61.07,50.1,49.93,96,93,5.06,overcast clouds
144,Talnakh,RU,69.49,88.4,48.2,93,75,4.47,broken clouds
145,Nipawin,CA,53.37,-104.0,50.0,71,20,10.29,few clouds
146,Klaksvik,FO,62.23,-6.59,51.8,100,100,8.05,light rain
147,Ponta Delgada,PT,37.73,-25.67,68.0,82,40,18.34,light intensity shower rain
148,Hasaki,JP,35.73,140.83,88.0,79,75,14.99,shower rain
149,Kavieng,PG,-2.57,150.8,84.4,75,3,12.91,light rain
150,Tiarei,PF,-17.53,-149.33,82.4,69,75,5.82,broken clouds
151,Svetlogorsk,BY,52.63,29.73,56.64,97,52,3.36,broken clouds
152,Pilar,BR,-9.6,-35.96,68.0,94,40,2.19,scattered clouds
153,Sorland,NO,67.67,12.69,52.18,81,100,4.92,overcast clouds
154,Erice,IT,38.04,12.59,73.4,94,9,1.12,clear sky
155,Darhan,MN,49.49,105.92,55.49,71,0,2.68,clear sky
156,Komsomolskiy,UZ,40.43,71.72,60.8,44,0,2.24,clear sky
157,Mirnyy,RU,62.54,113.96,46.4,81,40,8.95,scattered clouds
158,Abalak,RU,58.13,68.59,46.0,95,100,8.52,overcast clouds
159,Avera,US,33.19,-82.53,75.2,53,40,4.7,scattered clouds
160,Iracoubo,GF,5.48,-53.2,78.39,86,97,8.16,light rain
161,Narsaq,GL,60.92,-46.05,42.8,93,100,5.82,light rain
162,Aden,YE,12.78,45.04,84.51,82,12,7.4,few clouds
163,Zlatoust,RU,55.17,59.65,46.33,98,58,5.95,broken clouds
164,San Quintin,MX,30.48,-115.95,83.8,47,0,3.27,clear sky
165,Wajima,JP,37.4,136.9,91.4,49,75,10.29,shower rain
166,Cherskiy,RU,68.75,161.3,50.81,48,100,11.32,overcast clouds
167,Glazov,RU,58.14,52.66,47.43,94,0,3.56,clear sky
168,Bandarbeyla,SO,9.49,50.81,75.09,77,99,24.65,overcast clouds
169,Tessalit,ML,20.2,1.01,87.66,38,12,9.26,few clouds
170,Leningradskiy,RU,69.38,178.42,46.2,60,0,10.6,clear sky
171,Fomboni,KM,-12.28,43.74,76.05,71,0,17.02,clear sky
172,Poso,ID,-1.4,120.75,88.43,54,7,1.83,clear sky
173,Southbridge,US,42.08,-72.03,68.0,88,9,3.87,clear sky
174,Diamantino,BR,-14.41,-56.45,79.05,22,0,3.62,clear sky
175,Hobyo,SO,5.35,48.53,75.7,81,9,20.02,clear sky
176,Qaqortoq,GL,60.72,-46.03,42.8,93,100,5.82,light rain
177,Waipawa,NZ,-41.41,175.52,55.0,66,85,20.8,overcast clouds
178,Nikolskoye,RU,59.7,30.79,54.0,81,37,2.24,scattered clouds
179,Ranong,TH,9.97,98.63,82.4,88,75,5.55,broken clouds
180,Hami,CN,42.8,93.45,81.59,15,88,4.68,overcast clouds
181,Akyab,MM,20.15,92.9,84.04,74,100,2.35,overcast clouds
182,Berlevag,NO,70.86,29.09,50.04,86,100,23.82,overcast clouds
183,Constitucion,CL,-35.33,-72.42,50.74,82,0,5.73,clear sky
184,Kargasok,RU,59.06,80.86,43.23,92,52,9.44,broken clouds
185,Claremore,US,36.31,-95.62,84.0,54,1,5.82,clear sky
186,Methoni,GR,36.82,21.7,75.99,72,0,2.24,clear sky
187,Guozhen,CN,34.37,107.36,81.73,38,0,3.58,light rain
188,Paamiut,GL,61.99,-49.67,42.57,96,38,17.52,scattered clouds
189,Oberstdorf,DE,47.4,10.28,52.0,97,100,2.46,overcast clouds
190,Bocanda,CI,7.06,-4.5,71.24,97,63,5.88,broken clouds
191,Kuybyshevo,RU,47.81,38.91,68.11,31,70,8.7,broken clouds
192,Broken Hill,AU,-31.95,141.43,73.4,25,0,14.99,clear sky
193,Hithadhoo,MV,-0.6,73.08,81.63,77,100,10.78,overcast clouds
194,Inirida,CO,3.87,-67.92,76.53,83,83,1.48,broken clouds
195,Nanchang,CN,28.68,115.88,84.24,53,0,3.98,clear sky
196,Danielskuil,ZA,-28.19,23.54,53.04,66,0,6.96,clear sky
197,Goma,CD,-1.68,29.22,64.53,74,96,2.75,overcast clouds
198,Saint-Joseph,RE,-21.37,55.62,68.0,72,22,5.82,few clouds
199,Lima,PE,-12.04,-77.03,59.0,82,90,10.29,overcast clouds
200,Axim,GH,4.87,-2.24,75.2,87,100,9.78,overcast clouds
201,Te Anau,NZ,-45.42,167.72,53.17,53,54,0.92,broken clouds
202,Oriximina,BR,-1.77,-55.87,81.23,63,26,3.62,scattered clouds
203,Ancud,CL,-41.87,-73.82,44.01,91,0,3.0,clear sky
204,Bathsheba,BB,13.22,-59.52,82.4,78,40,13.87,shower rain
205,Comodoro Rivadavia,AR,-45.87,-67.5,44.6,81,0,10.54,clear sky
206,Lorengau,PG,-2.02,147.27,84.16,79,23,13.11,few clouds
207,Flinders,AU,-34.58,150.86,69.01,61,0,14.0,clear sky
208,Tabou,CI,4.42,-7.35,76.1,87,100,8.55,light rain
209,Marsh Harbour,BS,26.54,-77.06,83.89,75,59,11.07,broken clouds
210,Lagoa,PT,39.05,-27.98,68.38,77,95,23.2,overcast clouds
211,Westport,US,41.14,-73.36,73.4,69,1,8.05,clear sky
212,Dikson,RU,73.51,80.55,42.3,79,84,21.21,broken clouds
213,Khunti,IN,23.08,85.28,75.2,94,40,4.7,haze
214,Zhaodong,CN,46.08,125.98,77.0,88,100,6.71,overcast clouds
215,Namatanai,PG,-3.67,152.43,84.27,73,16,8.39,light rain
216,Conde,BR,-7.26,-34.91,69.8,94,4,4.7,clear sky
217,Tezu,IN,27.92,96.17,77.07,79,100,1.07,overcast clouds
218,Mahebourg,MU,-20.41,57.7,66.2,100,75,4.7,light rain
219,Port Keats,AU,-14.25,129.55,91.83,30,100,5.23,overcast clouds
220,Ixtapa,MX,20.7,-105.2,82.4,83,90,3.36,overcast clouds
221,Olafsvik,IS,64.89,-23.71,49.8,90,100,22.08,overcast clouds
222,Belaya Gora,RU,68.53,146.42,50.41,53,100,8.88,overcast clouds
223,Shemysheyka,RU,52.89,45.39,62.01,41,4,2.17,clear sky
224,Cayenne,GF,4.93,-52.33,78.8,94,48,2.24,scattered clouds
225,Mao,ES,39.89,4.27,73.4,64,79,16.11,broken clouds
226,Tuatapere,NZ,-46.13,167.68,56.8,50,17,3.42,few clouds
227,Yellowknife,CA,62.46,-114.35,51.01,57,40,12.75,scattered clouds
228,Solvychegodsk,RU,61.33,46.92,54.01,90,66,7.16,broken clouds
229,Rio Grande,BR,-32.03,-52.1,55.99,85,100,3.0,overcast clouds
230,Hervey Bay,AU,-25.3,152.85,68.0,84,74,5.01,light rain
231,Bandar-E Anzali,IR,37.47,49.46,69.8,100,47,4.79,scattered clouds
232,Alice Springs,AU,-23.7,133.88,86.0,9,0,10.29,clear sky
233,Itaituba,BR,-4.28,-55.98,82.4,69,49,2.42,scattered clouds
234,Grand Gaube,MU,-20.01,57.66,66.99,92,100,5.01,light rain
235,Peci,BA,44.63,16.79,60.8,93,0,2.24,clear sky
236,Broome,US,42.25,-75.83,62.6,72,1,3.36,clear sky
237,Victoria,HK,22.29,114.16,84.0,88,40,6.93,light intensity shower rain
238,Mitsamiouli,KM,-11.38,43.28,74.68,70,0,5.32,clear sky
239,Otjiwarongo,NA,-20.46,16.65,60.62,33,0,8.72,clear sky
240,Kropotkin,RU,45.44,40.58,66.85,80,96,5.84,light rain
241,Meulaboh,ID,4.14,96.13,80.94,69,41,2.19,scattered clouds
242,Sajanan,TN,37.06,9.24,73.4,88,40,2.24,scattered clouds
243,Port Blair,IN,11.67,92.75,84.11,75,96,5.35,overcast clouds
244,Rameswaram,IN,9.28,79.3,84.16,71,71,17.11,broken clouds
245,Norman Wells,CA,65.28,-126.83,53.6,62,75,9.17,broken clouds
246,Wenling,CN,28.37,121.36,84.99,58,0,6.26,clear sky
247,Rafai,CF,4.95,23.92,67.77,98,100,1.59,overcast clouds
248,Avarua,CK,-21.21,-159.78,73.4,64,47,8.05,scattered clouds
249,Deputatskiy,RU,69.3,139.9,41.18,95,100,3.58,light rain
250,Inhambane,MZ,-23.86,35.38,68.16,70,99,7.52,overcast clouds
251,Yazoo City,US,32.86,-90.41,80.6,69,1,2.77,clear sky
252,Mecca,SA,21.43,39.83,85.91,33,0,2.15,clear sky
253,Kahului,US,20.89,-156.47,87.8,48,40,20.8,scattered clouds
254,Borogontsy,RU,62.67,131.17,58.14,61,43,4.79,scattered clouds
255,Chokurdakh,RU,70.63,147.92,52.02,45,5,9.64,clear sky
256,Nantucket,US,41.28,-70.1,62.6,93,1,4.7,clear sky
257,Uspenka,UA,48.39,39.16,61.74,32,42,5.23,scattered clouds
258,Warburton,PK,31.55,73.83,77.0,94,40,3.94,smoke
259,Pavilosta,LV,56.89,21.19,59.0,87,76,5.82,broken clouds
260,Chuncheng,CN,22.17,111.79,88.0,68,100,2.59,overcast clouds
261,Songjianghe,CN,42.19,127.48,58.42,95,100,9.44,heavy intensity rain
262,Strathaven,GB,55.68,-4.07,55.0,80,100,1.01,light rain
263,Borovoy,RU,55.43,86.08,44.6,93,96,4.47,overcast clouds
264,Covington,US,39.08,-84.51,73.0,73,40,6.93,scattered clouds
265,Arraial Do Cabo,BR,-22.97,-42.03,71.33,89,0,17.87,clear sky
266,Biak,ID,-0.91,122.88,80.96,77,97,9.08,overcast clouds
267,Namibe,AO,-15.2,12.15,68.27,86,70,3.53,broken clouds
268,Rio Gallegos,AR,-51.62,-69.22,39.2,80,99,4.7,overcast clouds
269,Knysna,ZA,-34.04,23.05,55.4,100,45,4.7,scattered clouds
270,Chapais,CA,49.78,-74.85,50.0,81,20,8.05,few clouds
271,Katherine,AU,-14.47,132.27,91.4,16,100,21.92,overcast clouds
272,Faanui,PF,-16.48,-151.75,78.31,76,0,9.35,light rain
273,Tukrah,LY,32.53,20.58,73.98,72,0,9.33,clear sky
274,Hamilton,US,39.18,-84.53,73.99,73,40,6.93,scattered clouds
275,Cockburn Town,TC,21.46,-71.14,83.14,80,73,15.52,broken clouds
276,Pisco,PE,-13.7,-76.22,60.8,82,88,9.17,overcast clouds
277,Onega,RU,63.91,38.14,53.01,96,46,5.93,scattered clouds
278,Buraydah,SA,26.33,43.98,78.8,29,0,2.24,clear sky
279,Sterling,US,39.01,-77.43,71.6,64,20,6.93,few clouds
280,Zhigalovo,RU,54.81,105.16,56.77,71,78,4.47,broken clouds
281,Beaverlodge,CA,55.22,-119.44,50.0,87,75,3.36,light intensity shower rain
282,Sinnamary,GF,5.38,-52.95,78.71,86,74,9.84,moderate rain
283,East London,ZA,-33.02,27.91,62.44,79,86,7.83,overcast clouds
284,Grindavik,IS,63.84,-22.43,50.0,100,90,21.92,shower rain
285,Longhua,CN,23.61,114.19,85.06,79,99,1.81,light rain
286,Luderitz,NA,-26.65,15.16,57.07,74,0,16.46,clear sky
287,Whitehorse,CA,60.72,-135.05,60.01,33,20,3.36,few clouds
288,Saint George,US,37.1,-113.58,108.0,6,1,18.34,clear sky
289,Verkhoturye,RU,58.86,60.81,47.98,94,33,3.49,scattered clouds
290,Tsumeb,NA,-19.23,17.72,61.34,32,0,10.33,clear sky
291,Osa,RU,57.28,55.46,47.52,92,10,2.62,clear sky
292,Acarau,BR,-2.89,-40.12,77.5,82,0,13.73,clear sky
293,Valente,BR,-11.41,-39.46,64.15,90,0,6.11,clear sky
294,Abu Samrah,SY,35.3,37.18,67.91,61,0,0.58,clear sky
295,Marquette,US,46.53,-87.63,68.0,77,74,3.0,broken clouds
296,Saldanha,ZA,-33.01,17.94,51.8,81,0,3.36,clear sky
297,Anadyr,RU,64.75,177.48,50.0,81,75,11.18,shower rain
298,Kampot,KH,10.62,104.18,86.0,79,40,1.12,shower rain
299,Tikamgarh,IN,24.75,78.83,80.29,82,0,6.55,clear sky
300,Panzhihua,CN,26.59,101.71,71.01,65,100,0.45,overcast clouds
301,Adrar,MR,20.5,-10.07,91.29,37,14,6.46,few clouds
302,Atar,MR,20.52,-13.05,87.44,46,99,12.12,overcast clouds
303,Mayo,US,38.89,-76.51,73.4,64,1,10.04,clear sky
304,Solenzo,BF,12.18,-4.08,72.34,94,100,4.92,overcast clouds
305,Zhuhai,CN,22.28,113.57,89.01,83,40,5.82,light rain
306,Vengurla,IN,15.87,73.63,77.0,94,40,9.17,moderate rain
307,Pacific Grove,US,36.62,-121.92,91.0,29,1,3.36,haze
308,Qui Nhon,VN,13.77,109.23,87.66,61,70,3.18,broken clouds
309,Adre,TD,13.47,22.2,72.86,81,21,4.94,few clouds
310,Wajir,KE,1.75,40.06,72.07,69,99,14.2,overcast clouds
311,Lovozero,RU,68.0,35.01,45.3,90,100,5.21,overcast clouds
312,San-Pedro,CI,4.75,-6.64,75.43,91,97,8.08,light rain
313,Vostok,RU,46.49,135.88,72.57,54,97,3.04,overcast clouds
314,Rincon,US,32.3,-81.24,80.6,69,75,5.82,broken clouds
315,Bairiki,KI,1.33,172.98,89.6,62,20,17.22,few clouds
316,Newport,GB,51.59,-3.0,53.01,95,96,3.09,overcast clouds
317,Cabatuan,PH,10.88,122.49,87.35,68,84,2.59,broken clouds
318,Yarmouth,US,41.71,-70.23,72.0,64,1,4.7,clear sky
319,Goderich,CA,43.75,-81.72,64.0,77,10,26.51,clear sky
320,Yook,PH,13.23,121.96,88.05,65,100,2.35,overcast clouds
321,Thompson,CA,55.74,-97.86,42.8,75,75,10.29,light intensity shower rain
322,Provideniya,RU,64.38,-173.3,44.6,70,75,22.37,broken clouds
323,Guerrero Negro,MX,27.98,-114.06,82.99,56,0,15.77,clear sky
324,Lamar,US,33.67,-95.58,80.6,74,1,5.82,clear sky
325,Fortuna,US,40.6,-124.16,75.99,60,1,5.82,clear sky
326,Mount Isa,AU,-20.73,139.5,84.2,26,0,12.75,clear sky
327,Itarema,BR,-2.92,-39.92,77.99,82,5,14.07,clear sky
328,Mount Gambier,AU,-37.83,140.77,66.2,39,100,24.16,overcast clouds
329,Kokopo,PG,-4.35,152.26,86.25,64,5,8.63,clear sky
330,Mulchen,CL,-37.72,-72.23,45.97,93,0,1.81,clear sky
331,Fuerte Olimpo,PY,-21.04,-57.87,82.2,46,74,10.22,broken clouds
332,La Tuque,CA,47.43,-72.78,49.3,94,9,4.99,clear sky
333,Leshukonskoye,RU,64.9,45.76,56.35,97,100,6.69,light rain
334,Inuvik,CA,68.35,-133.72,51.8,57,20,4.7,few clouds
335,Naze,JP,28.37,129.48,86.0,74,40,12.75,scattered clouds
336,Verkhnevilyuysk,RU,63.45,120.32,53.28,56,0,5.17,clear sky
337,Wattegama,LK,6.8,81.48,77.0,88,90,3.36,overcast clouds
338,Novoanninskiy,RU,50.53,42.67,57.4,37,76,8.01,broken clouds
339,Belyy Yar,RU,53.6,91.39,51.8,87,75,2.86,broken clouds
340,Bubaque,GW,11.28,-15.83,80.33,81,100,19.26,light rain
341,Opuwo,NA,-18.06,13.84,59.07,46,0,2.19,clear sky
342,Remanso,BR,-9.62,-42.08,75.36,62,0,11.9,clear sky
343,Port Augusta,AU,-32.5,137.77,78.8,21,12,29.97,few clouds
344,Calabozo,VE,8.92,-67.43,74.89,94,49,0.72,scattered clouds
345,Katsuura,JP,35.13,140.3,87.01,79,75,17.22,broken clouds
346,Mahajanga,MG,-15.72,46.32,68.0,72,20,5.82,few clouds
347,Carballo,ES,43.21,-8.69,62.6,72,81,4.7,broken clouds
348,Zhangjiakou,CN,40.81,114.88,71.69,54,0,10.22,clear sky
349,Christchurch,NZ,-43.53,172.63,57.99,54,13,6.93,few clouds
350,Safita,SY,34.82,36.12,73.99,73,0,6.93,clear sky
351,Pulaski,US,34.77,-92.3,78.01,73,1,5.82,smoke
352,Honiara,SB,-9.43,159.95,95.0,53,40,10.29,scattered clouds
353,Laguna,US,38.42,-121.42,109.0,12,1,5.82,haze
354,Dunedin,NZ,-45.87,170.5,55.99,58,69,10.0,broken clouds
355,Kamina,CD,-8.74,24.99,67.64,27,100,3.24,overcast clouds
356,Neiafu,TO,-18.65,-173.98,77.0,61,20,16.11,few clouds
357,Sitka,US,57.05,-135.33,59.0,77,75,4.7,broken clouds
358,Zyryanka,RU,65.75,150.85,46.56,91,100,14.79,moderate rain
359,Sao Sebastiao,BR,-23.76,-45.41,69.19,89,11,2.13,few clouds
360,Katobu,ID,-4.94,122.53,83.73,65,82,7.94,broken clouds
361,Pala,TD,9.36,14.9,69.89,84,94,2.77,overcast clouds
362,Elko,US,41.0,-115.5,89.6,10,1,9.17,haze
363,Sisimiut,GL,66.94,-53.67,38.52,75,22,10.8,few clouds
364,Tacana,GT,15.23,-92.08,77.0,100,75,2.24,light rain
365,San Policarpo,PH,12.18,125.51,85.24,71,100,6.02,overcast clouds
366,Perbaungan,ID,3.57,98.96,81.18,79,88,3.33,overcast clouds
367,Harper,LR,4.38,-7.72,76.08,87,98,8.14,overcast clouds
